tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
2009,SH012009,ASMA,2008-10-15 18:00,2008-10-24 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,44914,45.93,{0: 44914}
2010,SH022010,BONGANI,2009-11-21 12:00,2009-11-25 18:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,141166,538.07,{0: 141166}
2012,SH052012,CHANDA,2012-01-07 06:00,2012-01-09 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,13260,8.27,{0: 13260}
2012,SH052012,CHANDA,2012-01-07 06:00,2012-01-09 12:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,49052,253.49,{0: 49052}
2012,SH052012,CHANDA,2012-01-07 06:00,2012-01-09 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,239721,11099.77,"{0: 234777, 1: 4944}"
2012,SH052012,CHANDA,2012-01-07 06:00,2012-01-09 12:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,934858,420355.73,"{0: 554366, 1: 380492}"
2014,SH032014,AMARA,2013-12-14 06:00,2013-12-28 06:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,44652,18940149.97,"{2: 1354, 3: 43298}"
2016,SH012016,ABELA,2016-07-14 12:00,2016-07-20 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,43459,2621.49,"{0: 41245, 1: 2214}"
2016,SH012016,ABELA,2016-07-14 12:00,2016-07-20 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,5807,4.1,{0: 5807}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,931,1.41,{0: 931}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,2952,2.86,{0: 2952}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,3589,16.48,{0: 3589}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,780,0.13,{0: 780}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,40881,971.34,{0: 40881}
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,80633,19591.8,"{0: 80109, 1: 524}"
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,255858,1444186.03,"{0: 125317, 1: 130541}"
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,60684,51346.35,"{0: 60304, 1: 380}"
2017,SH042017,CARLOS,2017-02-02 06:00,2017-02-13 00:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,6734,7556.23,"{0: 5339, 1: 1395}"
2018,SH032018,AVA,2017-12-30 06:00,2018-01-09 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,7922370,227651663.68,"{0: 143582, 1: 948347, 2: 2086987, 3: 4743454}"
