tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1994,SH161994,NONAME,1994-02-06 00:00,1994-02-19 18:00,OFCL,Mauritius,MUS,44652,1085431.03,"{1: 44473, 2: 179}",0,44473,179,0,0,0
1994,SH191994,NONAME,1994-03-05 18:00,1994-03-10 18:00,OFCL,Madagascar,MDG,22272,73.23,{0: 22272},22272,0,0,0,0,0
1994,SH191994,NONAME,1994-03-05 18:00,1994-03-10 18:00,OFCL,Reunion,REU,3104,134.04,{0: 3104},3104,0,0,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,16764740,855658829.73,"{0: 3100479, 1: 3261680, 2: 2610726, 3: 6685021, 4: 1074031, 5: 32803}",3100479,3261680,2610726,6685021,1074031,32803
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Mauritius,MUS,507131,9552807.41,"{0: 462730, 1: 44401}",462730,44401,0,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Reunion,REU,92541,5666282.8,"{0: 91985, 1: 556}",91985,556,0,0,0,0
1994,SH231994,NONAME,1994-03-17 18:00,1994-04-02 00:00,OFCL,Comoros,COM,675502,221142.63,"{0: 309221, 1: 366281}",309221,366281,0,0,0,0
1994,SH231994,NONAME,1994-03-17 18:00,1994-04-02 00:00,OFCL,Madagascar,MDG,7679178,325056811.02,"{0: 2150440, 1: 2762638, 2: 854712, 3: 1381288, 4: 521879, 5: 8221}",2150440,2762638,854712,1381288,521879,8221
1994,SH231994,NONAME,1994-03-17 18:00,1994-04-02 00:00,OFCL,Mozambique,MOZ,11176305,244982469.8,"{0: 2589643, 1: 3707689, 2: 2657133, 3: 2212565, 4: 9275}",2589643,3707689,2657133,2212565,9275,0
1994,SH231994,NONAME,1994-03-17 18:00,1994-04-02 00:00,OFCL,Mauritius,MUS,248,2.13,{0: 248},248,0,0,0,0,0
1994,SH231994,NONAME,1994-03-17 18:00,1994-04-02 00:00,OFCL,Mayotte,MYT,270400,3122565.2,"{1: 264065, 2: 6335}",0,264065,6335,0,0,0
1995,SH021995,NONAME,1994-11-21 06:00,1994-12-02 06:00,OFCL,Mauritius,MUS,44652,9220187.66,"{2: 32921, 3: 11731}",0,0,32921,11731,0,0
1995,SH061995,NONAME,1994-12-30 12:00,1995-01-06 12:00,OFCL,Mauritius,MUS,667440,204411.29,"{0: 572721, 1: 94719}",572721,94719,0,0,0,0
1995,SH071995,NONAME,1995-01-04 18:00,1995-01-09 18:00,OFCL,Mauritius,MUS,179781,4925.33,{0: 179781},179781,0,0,0,0,0
1995,SH081995,NONAME,1995-01-16 18:00,1995-01-30 12:00,OFCL,Mauritius,MUS,44006,5480.65,{0: 44006},44006,0,0,0,0,0
1995,SH091995,NONAME,1995-01-19 12:00,1995-01-27 06:00,OFCL,Madagascar,MDG,68507,40974.24,{0: 68507},68507,0,0,0,0,0
1995,SH091995,NONAME,1995-01-19 12:00,1995-01-27 06:00,OFCL,Mozambique,MOZ,69,2550.93,{0: 69},69,0,0,0,0,0
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,1246279,5098424.28,"{0: 1273, 1: 1243657, 2: 1349}",1273,1243657,1349,0,0,0
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Reunion,REU,368,241185.65,{0: 368},368,0,0,0,0,0
1995,SH161995,NONAME,1995-03-04 18:00,1995-03-12 18:00,OFCL,Comoros,COM,892811,2763655.82,"{0: 65120, 1: 759419, 2: 68272}",65120,759419,68272,0,0,0
1995,SH161995,NONAME,1995-03-04 18:00,1995-03-12 18:00,OFCL,Madagascar,MDG,2916603,1049053.94,"{0: 1922190, 1: 994207, 2: 206}",1922190,994207,206,0,0,0
1995,SH161995,NONAME,1995-03-04 18:00,1995-03-12 18:00,OFCL,Mozambique,MOZ,1157162,26044.42,{0: 1157162},1157162,0,0,0,0,0
1995,SH161995,NONAME,1995-03-04 18:00,1995-03-12 18:00,OFCL,Mayotte,MYT,270400,1117982.88,"{0: 38672, 1: 231728}",38672,231728,0,0,0,0
1995,SH171995,NONAME,1995-03-04 18:00,1995-03-15 06:00,OFCL,Mauritius,MUS,1246279,23373078.48,"{1: 925496, 2: 320783}",0,925496,320783,0,0,0
1995,SH171995,NONAME,1995-03-04 18:00,1995-03-15 06:00,OFCL,Reunion,REU,963140,310710276.23,"{2: 830745, 3: 132395}",0,0,830745,132395,0,0
1996,SH061996,NONAME,1995-12-31 18:00,1996-01-15 06:00,OFCL,Madagascar,MDG,18586286,1793882297.19,"{0: 2953687, 1: 3147489, 2: 4144534, 3: 5982751, 4: 1346957, 5: 1010868}",2953687,3147489,4144534,5982751,1346957,1010868
1996,SH061996,NONAME,1995-12-31 18:00,1996-01-15 06:00,OFCL,Mozambique,MOZ,12754019,172173610.54,"{0: 4171907, 1: 5018733, 2: 1878992, 3: 1684387}",4171907,5018733,1878992,1684387,0,0
1996,SH061996,NONAME,1995-12-31 18:00,1996-01-15 06:00,OFCL,Mauritius,MUS,1245631,7160182.26,"{0: 58936, 1: 1186695}",58936,1186695,0,0,0,0
1996,SH061996,NONAME,1995-12-31 18:00,1996-01-15 06:00,OFCL,Reunion,REU,541286,4737512.89,"{0: 389652, 1: 151634}",389652,151634,0,0,0,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Comoros,COM,892811,321064346.12,"{2: 53253, 3: 687922, 4: 151636}",0,0,53253,687922,151636,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Madagascar,MDG,4461718,2792042.69,"{0: 2900584, 1: 1461402, 2: 99732}",2900584,1461402,99732,0,0,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Mozambique,MOZ,423210,48903.9,"{0: 367374, 1: 55836}",367374,55836,0,0,0,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Mayotte,MYT,270400,2400228.8,{1: 270400},0,270400,0,0,0,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Seychelles,SYC,135,12.84,{0: 135},135,0,0,0,0,0
1996,SH141996,NONAME,1996-02-11 18:00,1996-02-19 12:00,OFCL,Tanzania,TZA,232155,7647.59,"{0: 221418, 1: 10737}",221418,10737,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,17925308,645313086.28,"{0: 2712075, 1: 3837538, 2: 6855552, 3: 3517406, 4: 1002737}",2712075,3837538,6855552,3517406,1002737,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Reunion,REU,596,12793.52,{0: 596},596,0,0,0,0,0
1996,SH171996,NONAME,1996-02-26 00:00,1996-03-04 12:00,OFCL,Mauritius,MUS,71922,34424204.9,"{0: 27270, 3: 44652}",27270,0,0,44652,0,0
1996,SH171996,NONAME,1996-02-26 00:00,1996-03-04 12:00,OFCL,Reunion,REU,23,34926.89,{0: 23},23,0,0,0,0,0
1996,SH241996,NONAME,1996-04-02 00:00,1996-04-11 06:00,OFCL,Mauritius,MUS,45295,57392211.74,"{0: 643, 3: 42418, 4: 2234}",643,0,0,42418,2234,0
1996,SH241996,NONAME,1996-04-02 00:00,1996-04-11 06:00,OFCL,Reunion,REU,2311,77.71,{0: 2311},2311,0,0,0,0,0
1997,SH081997,NONAME,1996-12-01 12:00,1996-12-10 06:00,OFCL,Mauritius,MUS,1246279,520762903.78,"{2: 103562, 3: 1142717}",0,0,103562,1142717,0,0
1997,SH081997,NONAME,1996-12-01 12:00,1996-12-10 06:00,OFCL,Reunion,REU,963140,19785865.54,"{1: 939391, 2: 23749}",0,939391,23749,0,0,0
1997,SH141997,NONAME,1996-12-25 18:00,1997-01-09 00:00,OFCL,Madagascar,MDG,15311182,30051468.71,"{0: 7673218, 1: 6063156, 2: 1534832, 3: 39976}",7673218,6063156,1534832,39976,0,0
