tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Andramasina,MDG,,136740.0,,688.03,,{0: 136740},,136740.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Anjozorobe,MDG,,173525.0,,20102.37,,"{0: 109894, 1: 63631}",,109894.0,,63631.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ankazobe,MDG,,131646.0,,638.05,,"{0: 131566, 1: 80}",,131566.0,,80.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Atsimondrano,MDG,,867892.0,,1028.5,,{0: 867892},,867892.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Avaradrano,MDG,,677773.0,,274.5,,{0: 677773},,677773.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Renivohitra,MDG,,109635.0,,21.24,,{0: 109635},,109635.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Manjakandriana,MDG,,145799.0,,3948.02,,"{0: 131732, 1: 14067}",,131732.0,,14067.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Fenoarivo-Atsinanana,MDG,,307249.0,,1236503.45,,"{1: 202822, 2: 104427}",,0.0,,202822.0,,104427.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Mananara,MDG,,261377.0,,126801.63,,{1: 261377},,0.0,,261377.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Maroantsetra,MDG,,228934.0,,94205.65,,"{0: 167889, 1: 61045}",,167889.0,,61045.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Nosy Boraha,MDG,,35029.0,,276528.01,,"{1: 1268, 2: 33761}",,0.0,,1268.0,,33761.0,,0.0,,0.0,,0.0
