tc_season,atcf_id,storm_name,adm0_name,adm0_code,adm1_name,adm1_code,jtwc_start_time_15as,jtwc_start_time_30as,jtwc_end_time_15as,jtwc_end_time_30as,tech_15as,tech_30as,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH081980,NONAME,Mauritius,MUS,Plaines Wilhems,MUS.7_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,319586.0,294342.0,47872.92,21576.61,"{0: 157106, 1: 162480}","{0: 154311, 1: 140031}",157106.0,154311.0,162480.0,140031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Port Louis,MUS.8_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,39668.0,100326.0,365898.18,891797.19,"{0: 36217, 1: 3451}","{0: 64908, 1: 35418}",36217.0,64908.0,3451.0,35418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Rivière du Rempart,MUS.9_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,111707.0,,148689.23,,"{0: 63648, 1: 48059}",,63648.0,,48059.0,,0.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Mauritius,MUS,,No Adm1,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,307.0,,63.92,,{1: 307},,0.0,,307.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Reunion,REU,Arrondissement_du_vent,REU,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,256754.0,,9007695.4,,"{1: 124574, 2: 132180}",,0.0,,124574.0,,132180.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Reunion,REU,Arrondissement_souse_le_vent,REU,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,447764.0,,65729349.94,,"{1: 59381, 2: 388192, 3: 191}",,0.0,,59381.0,,388192.0,,191.0,,0.0,,0.0
1980,SH081980,NONAME,Reunion,REU,Saint-Benoît,REU.1_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,140447.0,,15471533.12,,"{1: 122786, 2: 17638, 3: 23}",,0.0,,122786.0,,17638.0,,23.0,,0.0,,0.0,
1980,SH081980,NONAME,Reunion,REU,Saint-Denis,REU.2_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,308269.0,,51610539.56,,"{1: 84491, 2: 223778}",,0.0,,84491.0,,223778.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Reunion,REU,Saint-Paul,REU.3_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,201260.0,,65094228.35,,"{1: 252, 2: 201008}",,0.0,,252.0,,201008.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Reunion,REU,Saint-Pierre,REU.4_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,313164.0,,43208821.51,,"{1: 83656, 2: 229325, 3: 183}",,0.0,,83656.0,,229325.0,,183.0,,0.0,,0.0,
